hs1,1,10000,0.0
hs1,93001,114000,2.953
hs1,177001,228000,0.0192
hs1,265001,318000,0.0552
hs1,366001,384000,0.908
hs1,388001,416000,1.4324
hs1,471001,531000,0.2408
hs1,600001,637000,1.1052
hs1,1620001,1674000,1.1586
hs1,2585001,2615000,6.9536
hs1,2634001,2686000,0.0422
hs1,3845001,3995000,0.0044
hs1,12990001,13154000,0.9894
hs1,13220001,13374000,0.3964
hs1,13384001,13438000,1.2088
hs1,13472001,13663000,0.7656
hs1,13699001,13773000,1.0868
hs1,16833001,16843000,5.5956
hs1,16867001,17003000,5.976
hs1,17014001,17113000,3.3228
hs1,17125001,17176000,0.0332
hs1,17176001,17202000,2.9012
hs1,24257001,24363000,0.7348
hs1,29878001,30028000,0.0008
hs1,72766001,72812000,0.9366
hs1,85980001,86006000,4.1028
hs1,103785001,103914000,0.5978
hs1,103925001,104003000,0.964
hs1,104168001,104220000,2.8358
hs1,104227001,104264000,2.5658
hs1,106016001,106023000,0.01
hs1,110223001,110247000,0.528
hs1,112692001,112701000,0.1862
hs1,120532001,120637000,4.6094
hs1,120653001,120697000,2.769
hs1,120697001,120747000,0.0026
hs1,120749001,120773000,3.2406
hs1,120937001,121087000,0.0024
hs1,121109001,121149000,3.7648
hs1,121375001,121406000,6.276
hs1,121486001,142535000,0.0
hs1,142535001,142731000,4.8674
hs1,142731001,142781000,0.0
hs1,142781001,142968000,6.1882
hs1,142968001,143118000,0.0016
hs1,143174001,143238000,3.7298
hs1,143293001,143343000,0.0018
hs1,143385001,143430000,4.5392
hs1,143446001,143500000,3.8012
hs1,143506001,143523000,3.311
hs1,143545001,143655000,0.0808
hs1,143657001,143726000,1.0822
hs1,143726001,143771000,3.4732
hs1,143771001,143871000,0.0
hs1,143906001,143932000,3.0546
hs1,143935001,144074000,3.622
hs1,144096001,144159000,0.3054
hs1,144225001,144323000,0.5172
hs1,144340001,144467000,0.5914
hs1,144470001,144499000,1.073
hs1,144590001,144622000,2.9606
hs1,144622001,144673000,0.0392
hs1,144673001,144711000,4.1786
hs1,144711001,144811000,0.0034
hs1,144811001,144897000,3.8266
hs1,144907001,145093000,5.6018
hs1,145097001,145382000,4.9986
hs1,145833001,145944000,0.6098
hs1,146022001,146215000,0.9366
hs1,146220001,146303000,0.547
hs1,146307001,146395000,1.0826
hs1,146400001,146454000,1.0124
hs1,146455001,146465000,0.9554
hs1,147425001,147486000,1.1474
hs1,147533001,147706000,1.3226
hs1,147833001,147854000,1.2788
hs1,147857001,147914000,1.13
hs1,147932001,147966000,1.2346
hs1,147977001,147996000,1.138
hs1,148026001,148176000,0.0
hs1,148206001,148222000,3.7822
