"chr","start","end","genes","WestEurasia.SouthAsia","WestEurasia.Africa","WestEurasia.CentralAsiaSiberia","WestEurasia.Oceania","WestEurasia.America","WestEurasia.EastAsia","SouthAsia.Africa","SouthAsia.CentralAsiaSiberia","SouthAsia.Oceania","SouthAsia.America","SouthAsia.EastAsia","Africa.CentralAsiaSiberia","Africa.Oceania","Africa.America","Africa.EastAsia","CentralAsiaSiberia.Oceania","CentralAsiaSiberia.America","CentralAsiaSiberia.EastAsia","Oceania.America","Oceania.EastAsia","America.EastAsia"
"1",108729310,108737787,"SLC25A24",0,0,0,0,0,0,0.3433,0,0,0,0,0,0.28019,0.50669,0.25098,0,0.25789,0,0,0,0
"1",109573089,109580939,"WDR47",0,0,0,0,0,0,0,0,0,0,0,0,0,0.21935,0,0,0,0,0,0,0
"1",110215300,110257943,"GSTM1, GSTM2, GSTM5",0,0,0,0,0,0,0,0,0,0,0,0,0.22606,0,0,0,0,0,0,0,0
"1",13725296,13733660,"PRAMEF20",0,0,0,0,0,0,0,0,0,0,0,0,0.23619,0.23093,0,0.35185,0.34632,0,0,0,0
"1",144452805,144456917,"NBPF20, NA",0,0,0,0,0,0,0,0.23675,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",144488959,144522495,"NBPF20, NA",0,0,0,0,0,0,0,0,0,0,0,0,0.26155,0.24433,0,0,0,0,0,0,0
"1",144612537,144622084,"NBPF20, PFN1P2",0,0,0,0,0,0,0,0,0,0,0,0.20018,0,0,0,0,0,0,0,0,0
"1",144906613,144908385,"NBPF20, LOC653513, PDE4DIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21593,0
"1",144908385,144910495,"NBPF20, LOC653513, PDE4DIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21593,0
"1",144913569,144931782,"NBPF20, LOC653513, PDE4DIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21593,0
"1",144932302,144948483,"NBPF20, LOC653513, PDE4DIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21593,0
"1",146352157,146367582,"NBPF10, NBPF20, NBPF12, NA, NA, NA",0,0,0,0,0,0,0,0,0,0.24503,0,0,0,0.22508,0,0,0,0,0,0,0
"1",146367682,146373564,"NBPF10, NBPF20, NBPF12, NA, NA, NA",0,0,0,0,0.20337,0,0,0,0,0.25546,0,0,0,0.23125,0,0,0,0,0,0,0
"1",146374569,146466519,"NBPF10, NBPF20, NBPF12, NA, NA, NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2173,0,0,0,0
"1",152759388,152771208,"LCE1D, LCE1E",0,0,0,0.21093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",169216544,169254678,"NME7",0,0,0,0.23212,0.20789,0,0,0,0.21958,0,0,0,0,0,0,0,0,0,0,0,0
